Sample_name;Sampling_origin;Elt1;Elt2;Elt3;Elt4;Elt5;Elt6;Elt7
S1_1;Site1;0,709033456;6,86E-02;1,54792061;4,16E-03;1078,795669;27,26028273;1,388119896
S1_2;Site1;0,709065141;9,79E-02;1,059933906;3,30E-03;2467,489154;6,259162048;1,444750046
S1_3;Site1;0,70910141;6,11E-02;8,355777524;2,97E-03;3772,781759;8,344604516;2,57630313
S1_4;Site1;0,70912426;3,03E-02;1,094248982;5,13E-03;1355,002512;3,623529373;0,97346815
S1_5;Site1;0,709136911;2,60E-02;1,785293793;4,71E-03;1673,447419;1,611299122;3,162183521
S1_6;Site1;0,70914645;3,86E-02;1,062926888;3,91E-03;1080,044792;16,04937137;0,209328241
S1_7;Site1;0,709154259;3,03E-02;1,336176205;4,97E-03;1098,012788;2,298141641;1,504404056
S1_8;Site1;0,709161919;3,46E-02;1,383428868;5,07E-03;1033,027989;1,655492461;1,361862052
S1_9;Site1;0,709166576;6,86E-02;2,003573905;4,15E-03;2431,611267;75,00952486;3,439951132
S1_10;Site1;0,709167464;6,85E-02;7,22686671;2,85E-03;1271,891605;5,010508573;30,11345995
S1_11;Site1;0,709173871;6,93E-02;0,745390948;4,82E-03;2086,412648;4,086932706;1,310687862
S1_12;Site1;0,709216365;9,53E-02;2,720672673;4,59E-03;2793,882029;8,238144985;0,781410619
S1_13;Site1;0,709263428;2,42E-02;1,087309875;3,55E-03;766,8720413;22,81433857;0,306810822
S1_14;Site1;0,709281857;6,76E-02;0,426135606;3,80E-03;713,2034281;10,58516146;1,113389271
S1_15;Site1;0,709286315;7,32E-02;1,22490507;4,25E-03;1653,783745;44,33956434;1,375523347
S1_16;Site1;0,709289107;6,12E-02;2,369826255;3,41E-03;3561,672808;9,473604814;6,701732884
S1_17;Site1;0,709377692;6,93E-02;1,667860655;4,48E-03;1700,99704;5,359724941;1,002303892
S1_18;Site1;0,709447172;2,82E-02;7,342622814;3,94E-03;929,4500882;31,5993581;0,85259403
S1_19;Site1;0,709448285;0,106088613;0,88147832;5,01E-03;3674,717192;16,19806279;4,047150258
S1_20;Site1;0,709924206;4,89E-02;2,264996773;3,62E-03;1260,889194;6,322024422;3,43423928
S2_1;Site2;0,708949825;3,39E-02;2,075953219;2,63E-03;691,3479627;11,83625307;2,076968627
S2_2;Site2;0,709114707;5,03E-02;1,776131593;4,84E-03;644,8008615;20,10218125;3,329273065
S2_3;Site2;0,709115497;3,90E-02;3,259731292;5,10E-03;427,5914706;5,952287042;3,034106327
S2_4;Site2;0,70915568;7,13E-02;8,2983451;2,54E-03;775,3870368;12,19675699;1,891431009
S2_5;Site2;0,709173863;6,45E-02;2,231206315;2,66E-03;706,08548;9,667180435;1,651075304
S2_6;Site2;0,709191665;0;0,649258361;5,06E-03;124,7220261;6,527981479;9,489666031
S2_7;Site2;0,709204229;0,122197419;4,145854477;2,56E-03;782,8958203;10,36501265;2,688965632
S2_8;Site2;0,709271864;8,87E-02;1,889970903;4,57E-03;459,5220864;6,597232024;2,30877142
S2_9;Site2;0,709335225;8,87E-02;2,346596184;4,86E-03;698,734363;8,965462179;1,892983987
